feature,mean_abs_shap
dst_host_rerror_rate,0.006962139232474863
dst_host_serror_rate,0.0035127812113366088
protocol_type,0.0031775743072450105
rerror_rate,0.003071391608082779
dst_host_srv_count,0.002843065323693505
logged_in,0.0025386906415133656
same_srv_rate,0.0023988717624445184
dst_host_same_srv_rate,0.0022987233684829697
dst_host_diff_srv_rate,0.002279915701080092
dst_host_same_src_port_rate,0.0020684769461770036
srv_serror_rate,0.001940979554993942
dst_host_srv_rerror_rate,0.0018713570364503195
srv_rerror_rate,0.0018506086729723602
dst_host_srv_serror_rate,0.0017235048395110582
count,0.0017209114023967627
srv_count,0.0015791140040889377
diff_srv_rate,0.0014773323738028845
dst_host_count,0.0014670877762827355
dst_host_srv_diff_host_rate,0.0013367305030010108
flag,0.0012718043944280305
wrong_fragment,0.001245842499816209
src_bytes,0.0011532835268469538
byte_ratio,0.001119748537531062
serror_rate,0.0011095661682779907
srv_diff_host_rate,0.0009958210058068685
total_bytes,0.0009320646328418615
byte_rate,0.0008568624452191564
dst_bytes,0.0008022665969501828
service,0.0007354649626916657
hot,0.0006191437491031134
duration,0.0005910589305210638
is_guest_login,0.0003944307176407511
root_shell,0.00022182332819443485
num_root,0.00021701263842617162
num_shells,0.00012706383815059156
num_compromised,5.267571529050241e-05
su_attempted,0.0
num_failed_logins,0.0
num_file_creations,0.0
urgent,0.0
land,0.0
num_access_files,0.0
num_outbound_cmds,0.0
is_host_login,0.0
