feature,mean_abs_shap
dst_host_srv_count,0.03593396389983072
dst_host_rerror_rate,0.03528680350728229
dst_host_serror_rate,0.03269774169057867
logged_in,0.026233886507151437
dst_host_same_srv_rate,0.021533541688424453
dst_host_same_src_port_rate,0.018443386186338714
serror_rate,0.013331015942267748
dst_host_srv_serror_rate,0.013191495920145615
rerror_rate,0.012574236435574853
dst_host_count,0.010851488428720194
count,0.01005952666746045
srv_serror_rate,0.009736774976784665
same_srv_rate,0.009450178988186725
flag,0.009082171050941269
protocol_type,0.008774676675163523
service,0.00787762410003112
diff_srv_rate,0.007265696781204464
dst_host_diff_srv_rate,0.006101058540874808
srv_rerror_rate,0.005451844350636155
dst_host_srv_diff_host_rate,0.004942362168839682
root_shell,0.0036186159308210313
byte_rate,0.0029663215973053415
dst_host_srv_rerror_rate,0.0029206142511777763
num_compromised,0.002902204392356581
srv_diff_host_rate,0.0028899249942119613
srv_count,0.0025086983100527267
hot,0.0023115818505781934
duration,0.0022413641517381746
dst_bytes,0.002233239082758183
src_bytes,0.0014586619591961682
total_bytes,0.0013770089397945016
byte_ratio,0.0012639352128177577
is_guest_login,0.0
is_host_login,0.0
num_outbound_cmds,0.0
num_access_files,0.0
num_shells,0.0
num_file_creations,0.0
num_root,0.0
su_attempted,0.0
num_failed_logins,0.0
urgent,0.0
wrong_fragment,0.0
land,0.0
